Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,Italy,Japan,Netherlands,New Zealand,Norway,Spain,Sweden,Switzerland,UK,USA
5,0,NA,202,0,0,0,6,NA,NA,NA,NA,0,1,NA,NA,54,120
8,0,NA,123,5,0,0,8,1,NA,NA,NA,1,0,NA,NA,0,104
5,2,NA,269,5,0,1,0,4,NA,NA,13,0,0,9,NA,200,3291
2,0,NA,241,0,0,0,0,NA,NA,NA,1,0,0,4,NA,367,3434
8,0,NA,268,0,0,3,8,2,NA,NA,18,0,4,0,NA,NA,6072
2,0,NA,307,0,0,2,11,13,NA,NA,7,1,1,2,NA,NA,8221
2,0,NA,258,1,0,1,14,8,NA,NA,6,1,1,2,NA,NA,8680
7,0,NA,251,1,0,1,16,3,NA,NA,5,2,2,0,NA,NA,8616
8,4,NA,347,0,4,1,19,3,29,NA,9,0,0,0,NA,NA,6038
15,2,NA,278,NA,0,3,32,2,25,NA,41,2,1,3,NA,NA,7204
10,2,1,341,NA,0,4,49,2,61,NA,15,0,1,3,NA,NA,7152
4,5,0,293,NA,0,2,79,2,21,NA,11,0,1,1,NA,NA,5483
7,1,1,340,1,0,5,89,2,27,1,7,1,1,1,8,NA,4616
10,0,NA,205,1,0,2,53,1,38,5,8,1,6,6,8,NA,8061
NA,NA,NA,1188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,11487
NA,NA,NA,1230,NA,NA,NA,NA,NA,NA,NA,338,NA,NA,NA,NA,2000,14644
NA,NA,NA,1773,NA,NA,103,1279,NA,NA,NA,1235,26,NA,NA,NA,2000,12074
NA,NA,NA,2448,NA,NA,53,1344,NA,NA,NA,159,35,NA,NA,NA,1000,11753
577,NA,NA,2929,17,21,129,1610,NA,NA,NA,69,31,13,NA,NA,5000,16651
312,156,NA,1948,25,34,184,952,NA,NA,NA,85,42,43,NA,NA,1748,14819
371,225,NA,1825,20,14,216,781,1988,NA,NA,231,37,36,NA,NA,3237,NA
310,216,NA,2715,14,30,216,624,3518,NA,76,254,51,233,138,NA,3078,NA
348,301,NA,3393,18,44,271,625,3445,NA,77,160,46,270,150,NA,4479,NA
644,286,NA,2616,24,47,367,570,3737,NA,104,162,43,260,172,NA,3000,NA
768,425,NA,1896,13,49,286,566,6740,NA,65,157,30,332,241,NA,5000,828
1075,328,NA,2374,13,58,264,499,8405,NA,59,93,67,1589,270,NA,6000,725
1444,224,NA,3940,35,92,532,494,5781,NA,65,73,45,1852,399,NA,10000,715
1714,123,NA,3838,22,67,432,433,5631,1889,79,58,59,1266,378,NA,10000,777
2355,135,NA,2735,43,130,385,495,5223,1532,54,80,77,1828,426,NA,6000,895
2805,137,108,2716,91,169,450,458,9332,1584,90,71,66,2093,500,NA,6000,813
2239,145,146,1854,112,182,677,526,8902,1421,103,98,87,2362,712,NA,13000,516
2114,146,153,4365,171,161,660,743,9688,1083,113,85,91,2003,957,99,9000,630
2307,168,160,2450,154,182,620,999,10348,848,105,100,77,2153,417,104,9000,846
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,959
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689
NA,NA,NA,NA,NA,NA,0,25,NA,NA,NA,NA,0,NA,NA,NA,NA,585
NA,NA,NA,183,NA,NA,0,21,NA,NA,NA,NA,2,NA,NA,NA,NA,603
6,NA,NA,157,0,0,0,19,NA,NA,NA,NA,4,0,NA,NA,NA,465
3,1,NA,139,1,0,0,12,NA,NA,NA,NA,1,1,NA,NA,NA,NA
2,0,NA,120,0,0,0,13,5,NA,NA,NA,0,1,NA,NA,NA,NA
1,0,NA,128,0,1,4,0,4,NA,3,NA,0,2,8,NA,NA,NA
2,1,NA,157,1,0,1,0,NA,NA,2,NA,0,1,8,NA,NA,NA
0,1,NA,132,0,0,6,15,0,NA,1,2,0,1,5,NA,NA,3061
2,1,NA,79,0,0,3,11,6,NA,3,7,1,0,0,NA,NA,978
3,3,NA,89,0,1,2,15,4,NA,2,1,1,3,2,NA,NA,1320
3,1,NA,124,1,1,2,10,7,NA,4,1,0,2,2,NA,NA,2170
3,4,NA,100,3,0,2,7,1,8,0,0.003,2,6,4,NA,NA,2901
2,0,NA,140,2,0,1,9,3,5,0,1,0,1,4,NA,NA,2923
2,2,1,144,0,2,2,8,5,13,0,3,0,1,3,NA,NA,1858
1,0,0,133,1,0,4,9,0,8,1,NA,0,3,3,NA,NA,2255
1,3,0,125,NA,0,0,5,1,9,1,3,1,3,0,3,NA,3503
6,2,NA,110,1,0,4,8,1,12,3,NA,1,2,3,6,NA,3086
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2328
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2390
