Australia,Austria,Belgium,Canada,Denmark,Finlad,France,Germany,Italy,Japan,Netherlands,New Zealand,Norway,Spain,Sweden,Switzerland,UK,USA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,0.28,NA,0.7,NA,NA,0.68,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.01,NA,0.96,NA,0.5,0.61,1.26,NA,0.04,1.37,NA,4.94,NA,NA,1.22,NA,NA
NA,0.01,NA,0.07,NA,NA,0.37,7.75,NA,0.07,4.61,NA,4.86,NA,NA,1.03,4.56,14.33
NA,0.01,0.01,NA,NA,0.89,0.41,12.12,NA,0.31,4.37,NA,2.89,NA,NA,1.22,3.86,8.05
NA,0.05,NA,0.14,NA,NA,0.36,12.53,NA,5.74,0.1,NA,5.01,0.02,NA,1.21,2.89,22.85
NA,0.05,NA,0.66,NA,0.5,3.16,21.46,NA,161.89,1.31,NA,5.63,NA,1.7,1.67,0.83,34.08
NA,0.19,NA,1.33,NA,0.29,0.97,13.42,1.65,170.64,1.17,NA,5.69,NA,0.38,2.09,1.74,66.89
NA,0.28,NA,0.84,NA,0.64,0.62,19.31,0.01,10.18,1.02,NA,3.34,NA,0.27,12.8,1.13,69.12
NA,0.41,NA,5.04,NA,0.16,1.81,8.85,0.03,13.9,2.26,NA,5.36,NA,NA,0.7,1.81,55.26
NA,0.56,NA,0.88,NA,0.14,11.78,5.88,0.76,10.52,NA,NA,4.89,0.03,1.15,1.73,0.69,75.87
NA,0.46,NA,0.02,NA,0.14,48.69,26.95,0.3,3.97,3.58,NA,9.14,0.07,0.48,9.61,0.38,63.05
NA,0.92,NA,0.06,NA,1.04,2.36,16.53,0.11,10.02,3.28,NA,8.88,0.09,NA,2.95,0.18,65.59
0.02,1.14,0.09,0.72,NA,0.22,2.16,10.6,1.24,269.77,4.83,NA,8.77,0.08,3.32,21.2,0.04,62.42
0.16,0.29,1.28,0.04,NA,0.23,2.15,51.48,0.1,10.03,NA,NA,7.46,0.12,1.03,2.43,NA,50.13
NA,0.45,0.02,0.03,NA,0.06,23,58.95,0.12,2.61,0.06,NA,6.24,0.01,1.77,4.42,0.34,55.74
NA,2.23,1.72,0.03,NA,0.21,2.46,28.72,0.12,4.5,NA,NA,4.89,0.33,0.43,14.54,1.93,36.57
NA,0.55,NA,0.03,0.01,0.93,2.47,55.4,NA,357.9,NA,NA,5.4,0.62,0.7,3.15,1.65,46
